index,name,row,col,x,y,w,h
0,icon-painting-32,0,0,2,2,32,32
1,icon-sculpture-32,0,1,36,2,32,32
2,icon-drawing-32,0,2,70,2,32,32
3,icon-photography-32,0,3,104,2,32,32
4,icon-misc-art-32,0,4,138,2,32,32
5,icon-new-works-32,1,0,2,36,32,32
6,icon-my-profile-32,1,1,36,36,32,32
7,icon-sign-up-32,1,2,70,36,32,32
8,icon-explore-page-32,1,3,104,36,32,32
9,icon-search-bar-32,1,4,138,36,32,32
10,icon-about-page-32,2,0,2,70,32,32
11,icon-follow-32,2,1,36,70,32,32
12,icon-purchase-artwork-32,2,2,70,70,32,32
13,icon-message-32,2,3,104,70,32,32
14,icon-artist-32,2,4,138,70,32,32
15,icon-edit-32,3,0,2,104,32,32
16,icon-upload-32,3,1,36,104,32,32
17,icon-favorite-like-32,3,2,70,104,32,32
18,icon-inbox-32,3,3,104,104,32,32
19,icon-purchase-made-32,3,4,138,104,32,32
20,icon-pinned-post-32,4,0,2,138,32,32
21,icon-guestbook-32,4,1,36,138,32,32
22,icon-accept-offer-32,4,2,70,138,32,32
23,icon-reject-offer-32,4,3,104,138,32,32
24,icon-city-location-32,4,4,138,138,32,32
25,icon-pin-32,5,0,2,172,32,32
26,icon-shipping-32,5,1,36,172,32,32
