index,name,row,col,x,y,w,h
0,icon-painting-48,0,0,2,2,48,48
1,icon-sculpture-48,0,1,52,2,48,48
2,icon-drawing-48,0,2,102,2,48,48
3,icon-photography-48,0,3,152,2,48,48
4,icon-misc-art-48,0,4,202,2,48,48
5,icon-new-works-48,1,0,2,52,48,48
6,icon-my-profile-48,1,1,52,52,48,48
7,icon-sign-up-48,1,2,102,52,48,48
8,icon-explore-page-48,1,3,152,52,48,48
9,icon-search-bar-48,1,4,202,52,48,48
10,icon-about-page-48,2,0,2,102,48,48
11,icon-follow-48,2,1,52,102,48,48
12,icon-purchase-artwork-48,2,2,102,102,48,48
13,icon-message-48,2,3,152,102,48,48
14,icon-artist-48,2,4,202,102,48,48
15,icon-edit-48,3,0,2,152,48,48
16,icon-upload-48,3,1,52,152,48,48
17,icon-favorite-like-48,3,2,102,152,48,48
18,icon-inbox-48,3,3,152,152,48,48
19,icon-purchase-made-48,3,4,202,152,48,48
20,icon-pinned-post-48,4,0,2,202,48,48
21,icon-guestbook-48,4,1,52,202,48,48
22,icon-accept-offer-48,4,2,102,202,48,48
23,icon-reject-offer-48,4,3,152,202,48,48
24,icon-city-location-48,4,4,202,202,48,48
25,icon-pin-48,5,0,2,252,48,48
26,icon-shipping-48,5,1,52,252,48,48
