index,name,row,col,x,y,w,h
0,icon-camera-48,0,0,2,2,16,16
1,icon-gear-48,0,1,20,2,16,16
2,icon-heart-48,0,2,38,2,16,16
3,icon-home-48,0,3,56,2,16,16
4,icon-mail-48,0,4,74,2,16,16
5,icon-music-48,1,0,2,20,16,16
6,icon-phone-48,1,1,20,20,16,16
7,icon-star-48,1,2,38,20,16,16
8,icon-test-camera-48,1,3,56,20,16,16
9,icon-test-gear-48,1,4,74,20,16,16
10,icon-test-heart-48,2,0,2,38,16,16
11,icon-test-home-48,2,1,20,38,16,16
12,icon-test-mail-48,2,2,38,38,16,16
13,icon-test-phone-48,2,3,56,38,16,16
14,icon-test-star-48,2,4,74,38,16,16
15,icon-test-user-48,3,0,2,56,16,16
16,icon-user-48,3,1,20,56,16,16
17,icon-video-48,3,2,38,56,16,16
